114.91,116.83,340.91,339,118.74,113,352.4,350.49,342.83,231.74,1
116.44,118.45,349.31,351.32,343.29,234.88,345.3,232.88,357.35,114.43,1
23.87,214.83,364.55,19.53,26.039,360.21,284.26,362.38,217,481.73,1
115.52,113.93,343.38,344.96,112.35,341.8,117.1,231.03,340.22,120.26,1
114.04,111.97,335.9,109.89,333.82,337.97,223.93,226,221.86,331.75,1
348.91,347.22,115.17,350.6,345.52,342.14,116.87,340.44,353.99,352.3,1
116.31,118.19,347.05,234.49,348.93,232.62,345.18,228.87,230.74,114.43,1
115.85,117.08,347.55,348.79,346.32,114.62,231.7,232.94,241.56,350.02,1
115.48,352.22,114.04,350.78,353.67,116.93,337.79,119.81,349.34,336.34,1
113.32,112.83,337.52,341.43,115.76,114.3,343.87,340.45,337.03,343.38,1
117.56,350.33,350.8,117.09,352.22,354.58,356,349.86,351.75,355.52,1
120.62,119.59,360.31,354.62,361.35,120.1,117.52,354.1,351.51,353.07,1
117.42,118.34,355.03,355.96,354.11,350.41,119.27,120.19,351.34,353.18,1
117.42,118.34,355.03,355.96,354.11,350.41,119.27,120.19,351.34,353.18,1
229.98,116.54,115.5,228.95,231.01,120.66,113.44,114.47,344.45,119.63,1
118.13,352.7,115.6,354.39,114.75,351.85,340.04,116.44,348.48,355.23,1
232.47,230.86,460.13,227.66,461.73,471.35,229.26,468.14,235.67,474.56,1
338.37,339.3,114.04,113.1,337.43,116.84,347.72,112.17,350.52,340.24,1
229.39,235.9,231.02,465.29,227.76,226.14,224.51,234.27,240.78,452.27,1
224.36,222.26,226.45,448.72,450.81,446.62,230.65,253.71,455.01,897.43,1
182.97,186.24,189.51,179.71,111.09,192.78,176.44,114.36,107.82,196.04,1
225.53,235.55,223.86,227.2,237.22,222.19,240.56,232.21,449.39,447.72,1
238.5,233.83,235.39,236.95,462.98,470.77,230.71,229.15,249.42,469.22,1
228.98,234.44,231.71,464.78,455.24,457.97,467.51,226.26,227.62,468.87,1
233.82,237.45,471.27,462.21,464.02,232.01,228.38,469.46,460.39,226.57,1
228.74,230,457.48,456.22,232.53,227.48,458.74,235.06,233.79,454.95,1
454.01,234.52,455.84,235.89,234.07,454.93,470.86,246.36,460.39,455.38,1
235.44,467.15,232.64,235.91,233.11,234.04,234.51,466.68,232.18,234.97,1
463.02,462.2,229.48,468.69,230.29,458.15,227.86,458.96,231.1,454.91,1
229.73,230.84,233.06,234.17,228.62,465.02,459.47,466.13,460.58,458.36,1
